Customer ID,segment,recency,frequency,monetary,churn_risk
15875,At Risk,277,1,111.72,0.79301316
15534,At Risk,356,1,162.25,0.79277676
17818,At Risk,368,1,130.18,0.7923993
14574,At Risk,363,1,143.70000000000002,0.7921652
13913,New Customers,138,1,42.22,0.7921234
14993,At Risk,194,1,36.13,0.7917132
16645,At Risk,367,1,160.39,0.7916262
12496,At Risk,251,2,54.09,0.79149854
18046,At Risk,280,1,189.63,0.7914711
12362,At Risk,370,1,130.0,0.7908087
14328,New Customers,69,1,445.05,0.7904394
15892,At Risk,300,1,128.2,0.79017055
15913,At Risk,165,1,6.300000000000001,0.79001945
14980,At Risk,368,1,150.68,0.78972054
14589,New Customers,2,1,79.5,0.78956467
14003,At Risk,364,1,209.41,0.78945833
16896,At Risk,186,1,103.95,0.7875864
12861,At Risk,250,1,68.25,0.7872927
13490,At Risk,285,1,154.25,0.7863744
16564,At Risk,200,1,87.80000000000001,0.786187
15603,At Risk,279,1,40.0,0.7856713
13739,At Risk,158,1,75.3,0.7855125
17875,At Risk,319,1,167.1,0.7843577
14580,At Risk,149,1,14.85,0.7842555
16822,At Risk,317,1,181.39,0.7838364
15871,New Customers,68,1,33.099999999999994,0.78354573
17087,At Risk,368,1,221.53,0.7832793
14376,At Risk,314,1,215.46,0.7824795
14394,At Risk,195,1,93.8,0.7823418
17108,At Risk,294,1,174.95,0.7822833
17171,At Risk,292,1,159.68,0.7821778
15284,New Customers,131,1,24.75,0.7819768
18201,At Risk,354,1,447.53,0.78089416
18148,At Risk,277,1,114.1,0.78015363
18103,At Risk,180,1,105.8,0.78006977
14509,At Risk,165,1,110.95,0.77998054
14955,At Risk,363,1,163.77,0.7799079
14979,At Risk,366,1,439.46,0.77980304
16673,At Risk,310,1,188.83,0.7796694
17982,At Risk,312,1,138.18,0.77950037
17008,New Customers,60,1,81.36,0.7793884
17401,At Risk,172,1,114.85,0.77921885
13114,At Risk,362,1,234.38,0.7789088
17378,New Customers,5,1,10.95,0.77809
13793,At Risk,278,1,96.0,0.77783716
12829,At Risk,181,1,92.3,0.7777496
15209,At Risk,361,1,178.98000000000002,0.77764654
17660,At Risk,368,1,163.47,0.7769784
15233,New Customers,32,1,59.400000000000006,0.7764156
16944,At Risk,240,1,101.36,0.7763963
14374,At Risk,172,1,108.0,0.77634674
14983,At Risk,320,1,183.2,0.77608585
15503,At Risk,357,1,120.06,0.77535945
16763,At Risk,369,1,352.85,0.77517575
16541,At Risk,366,1,424.03,0.77446306
14576,New Customers,3,1,70.80000000000001,0.7741016
16051,At Risk,313,1,188.44,0.7739471
13172,New Customers,31,1,69.6,0.7736793
17066,At Risk,357,1,228.34,0.77338266
17533,New Customers,66,1,34.8,0.77254593
12636,At Risk,370,1,141.0,0.7724416
14123,At Risk,364,1,436.18,0.7721686
16196,New Customers,119,1,93.3,0.77178526
15697,At Risk,321,1,246.75,0.77174133
12774,At Risk,166,1,98.7,0.7714054
12692,At Risk,268,1,110.95,0.77132607
14900,At Risk,153,1,13.919999999999998,0.7713023
16664,At Risk,200,1,109.2,0.77102494
15085,At Risk,360,1,347.54,0.7702328
18199,At Risk,314,1,344.75,0.7701295
14072,At Risk,297,1,390.85,0.76931983
12848,At Risk,306,1,208.0,0.7689789
15927,At Risk,278,1,123.39,0.7689263
17784,At Risk,181,1,112.86,0.76872087
16304,At Risk,326,1,381.66,0.7681684
16786,New Customers,25,1,51.84,0.7674037
13906,New Customers,40,1,42.0,0.76733726
16964,At Risk,364,2,207.85,0.7673014
13757,At Risk,305,1,195.55,0.76581454
15305,At Risk,186,1,93.6,0.7655133
16831,At Risk,196,1,91.8,0.76525414
17271,At Risk,367,1,210.39,0.76516193
15115,At Risk,363,1,191.74,0.7651152
13907,At Risk,322,1,136.8,0.7646371
13302,At Risk,157,1,95.45,0.76457244
13687,New Customers,69,1,11880.84,0.764272
14833,New Customers,130,1,94.8,0.7639007
14954,At Risk,334,1,167.27,0.7628119
14266,New Customers,59,1,40.56,0.76255083
12470,At Risk,320,1,211.95,0.7625485
16908,At Risk,353,1,252.59,0.7623629
14079,At Risk,313,1,243.63,0.76211435
16277,At Risk,364,1,188.69,0.76204276
13416,At Risk,367,1,228.3,0.76122874
16280,At Risk,356,1,238.05,0.7609504
16397,At Risk,259,1,127.88,0.7608878
16192,At Risk,366,1,351.3,0.7608857
12941,At Risk,355,1,377.49,0.7608661
17395,New Customers,139,1,97.5,0.76078236
15686,New Customers,51,1,90.0,0.76061815
16547,At Risk,177,1,111.71,0.76046026
16840,At Risk,234,2,139.85,0.7603512
17591,At Risk,322,1,144.1,0.7596886
14468,At Risk,364,1,204.24,0.7594958
17541,New Customers,140,1,124.46,0.7594932
13133,New Customers,90,1,90.65,0.7591395
14042,At Risk,356,1,431.98,0.75912166
13672,At Risk,361,1,233.53,0.75840604
15487,At Risk,310,1,231.32,0.7579547
17933,At Risk,263,1,114.69,0.7578643
17647,At Risk,300,2,198.6,0.75637126
16388,At Risk,284,1,186.05,0.7562101
17575,At Risk,298,1,171.7,0.75518835
17927,At Risk,352,1,294.0,0.75494796
14207,At Risk,319,1,157.8,0.75463086
12925,At Risk,223,1,35.28,0.75454134
16941,At Risk,242,1,33.0,0.7545069
13053,At Risk,252,1,127.65,0.75446993
16251,At Risk,143,1,128.31,0.75435257
14892,At Risk,322,1,202.35,0.7543478
13779,At Risk,146,1,161.13,0.7540994
12869,At Risk,312,1,337.67,0.7539876
14832,At Risk,261,1,322.69,0.7532403
15848,At Risk,252,1,139.94,0.7529598
17177,New Customers,136,1,119.5,0.7528311
17514,At Risk,300,1,334.18,0.75240767
13215,New Customers,33,1,81.6,0.7523701
15340,At Risk,192,1,105.5,0.7520039
16481,At Risk,313,1,453.38,0.7518063
18042,At Risk,172,1,116.1,0.75180304
14989,At Risk,292,1,342.4,0.7515847
13071,At Risk,243,1,129.22,0.75156766
13191,At Risk,289,1,164.69,0.75151867
17012,At Risk,356,1,384.16,0.7514071
16238,New Customers,53,1,63.66,0.7513974
16714,At Risk,301,1,368.27,0.751016
16127,At Risk,357,1,145.06,0.75101113
17833,At Risk,354,1,342.36,0.75088257
16439,At Risk,353,1,310.70000000000005,0.7508354
15905,At Risk,174,1,114.69,0.7506574
14999,At Risk,223,1,129.48000000000002,0.7506336
15486,At Risk,158,1,102.0,0.75031763
15775,At Risk,263,1,45.6,0.7501822
16288,New Customers,101,1,129.85,0.7501463
14545,At Risk,305,1,349.25,0.7499633
13087,At Risk,357,1,313.64,0.7498287
13380,New Customers,63,1,62.4,0.7497002
17224,New Customers,132,1,100.86,0.7494346
14519,At Risk,314,2,206.09,0.74938256
12416,At Risk,287,1,202.56,0.7491581
18124,New Customers,103,1,111.53,0.7488949
17151,At Risk,366,1,231.90000000000003,0.7488141
16577,At Risk,298,1,380.0,0.74874127
15742,At Risk,250,1,156.87,0.7484799
18162,At Risk,363,1,379.16,0.74714077
12773,At Risk,195,1,124.25,0.7470303
18000,At Risk,195,1,124.25,0.7470303
17361,At Risk,307,2,392.44,0.7469125
18070,At Risk,300,1,314.1,0.7467014
13586,At Risk,172,1,131.53,0.7465192
17789,At Risk,292,1,171.25,0.74598247
18123,At Risk,144,1,95.15,0.74575055
18285,At Risk,291,1,427.0,0.74531394
17316,New Customers,51,1,124.45,0.7450389
13609,At Risk,224,1,167.35,0.7449039
13234,At Risk,303,2,356.95,0.7446819
16486,At Risk,168,1,134.36,0.74447966
18281,At Risk,208,1,120.32,0.7444769
17240,At Risk,227,1,130.60000000000002,0.74393904
17543,At Risk,180,1,120.05,0.74386334
15293,At Risk,296,1,247.5,0.7432691
12934,At Risk,367,1,181.65,0.742946
17296,At Risk,361,1,338.13,0.7429194
15731,At Risk,185,1,125.3,0.7427171
15162,At Risk,362,1,312.9,0.7424324
15454,At Risk,249,1,128.59,0.7421958
13169,At Risk,193,1,127.2,0.7420334
17040,At Risk,181,1,13.52,0.7415585
16195,At Risk,354,1,323.25,0.7409417
16901,At Risk,360,1,204.26,0.74032116
15698,At Risk,255,1,46.2,0.73982316
13818,New Customers,60,1,61.28,0.7397299
17129,At Risk,151,1,31.85,0.7396023
15295,At Risk,285,1,217.24,0.7392199
17304,At Risk,165,1,111.5,0.7391924
15575,At Risk,250,1,30.1,0.7391041
17359,At Risk,279,1,156.6,0.73878396
17721,At Risk,290,1,307.21000000000004,0.7386944
13036,At Risk,315,1,307.1,0.7380007
13765,At Risk,284,1,352.821,0.7377318
15302,At Risk,361,1,308.0,0.7370561
17245,At Risk,320,1,200.18,0.7364693
14773,At Risk,223,1,140.55,0.7364161
12969,At Risk,233,1,122.45,0.7359924
15720,At Risk,181,1,143.19,0.735955
13830,At Risk,212,1,156.85000000000002,0.7356442
15548,At Risk,226,1,158.09,0.7352703
14670,At Risk,363,1,190.47,0.73490185
17910,At Risk,357,1,261.7,0.73469627
16537,At Risk,272,1,23.35,0.73453015
15474,At Risk,226,1,163.1,0.7344762
13306,New Customers,61,1,53.65,0.7344312
13289,At Risk,354,1,307.95,0.73436815
12894,At Risk,206,1,157.35,0.7341131
13847,At Risk,350,1,310.72,0.7339938
12821,At Risk,242,1,128.08,0.7338687
15816,At Risk,173,2,144.15,0.7334828
16375,New Customers,101,2,104.0,0.73285544
14070,At Risk,315,1,326.55,0.7325645
17565,At Risk,217,1,131.83,0.73251456
13620,At Risk,159,1,112.34,0.73250574
17249,New Customers,59,1,68.03,0.73246986
16651,At Risk,217,1,136.2,0.7324349
14602,At Risk,287,1,205.36,0.7321225
17783,At Risk,143,1,96.44,0.73194396
13007,At Risk,210,1,175.25,0.73159903
13794,At Risk,177,1,126.03,0.7315522
15765,At Risk,297,1,370.63,0.73143214
14787,New Customers,102,1,110.65,0.73127925
15135,At Risk,187,1,166.63,0.73126125
13241,New Customers,42,1,115.58,0.73078936
15499,At Risk,354,1,161.6,0.7305568
13905,At Risk,363,1,312.65,0.7305002
14274,At Risk,317,1,256.6,0.73029137
14366,At Risk,156,1,136.0,0.7301883
14241,At Risk,327,1,120.0,0.730043
14588,At Risk,209,1,135.39,0.72985286
15779,New Customers,94,2,124.08,0.7295374
13217,At Risk,286,1,132.5,0.72949296
16893,New Customers,7,1,109.91,0.72814476
15524,At Risk,238,1,151.4,0.7281406
14858,New Customers,136,1,180.75,0.728095
15188,At Risk,356,1,310.43,0.72809166
13628,At Risk,307,1,310.14,0.7280567
13944,At Risk,284,1,200.43,0.7279105
15359,At Risk,293,8,181.35,0.7277906
14187,New Customers,104,1,123.5,0.726649
14033,At Risk,186,1,109.44,0.7265592
14378,At Risk,252,1,131.25,0.7264585
14464,At Risk,199,2,111.0,0.7259695
18166,At Risk,254,1,175.5,0.7256203
16731,At Risk,279,1,174.05,0.7255056
17971,At Risk,179,1,161.94,0.72536236
18038,At Risk,187,1,149.41,0.7253153
16137,At Risk,311,1,422.7,0.72494733
17301,At Risk,255,1,132.8,0.72463286
17136,At Risk,293,1,231.68,0.7244451
16285,At Risk,277,1,176.9,0.7244193
17810,At Risk,299,2,374.81,0.72434145
14486,New Customers,143,2,175.5,0.72428435
15851,At Risk,157,1,109.73,0.7241687
13315,At Risk,320,1,310.26000000000005,0.7238469
14131,At Risk,279,1,187.87,0.72343725
18152,At Risk,277,1,426.69,0.72309047
15670,At Risk,187,1,152.15,0.72281724
15432,At Risk,172,1,149.57,0.72281724
13125,At Risk,154,1,158.57,0.7226243
18137,At Risk,182,2,145.99,0.7226083
14762,At Risk,257,1,117.05,0.72144866
17217,At Risk,250,1,104.5,0.72136825
16185,At Risk,195,1,115.31,0.7212526
17605,At Risk,221,1,160.75,0.72110504
12396,At Risk,305,1,931.43,0.7207776
17103,At Risk,353,1,424.3,0.72073954
13594,New Customers,116,1,136.35000000000002,0.72056407
18153,At Risk,290,1,246.22,0.72037643
13535,New Customers,33,1,89.5,0.7199098
13025,At Risk,363,1,323.39,0.7198111
16410,At Risk,365,1,130.32,0.7197291
15338,At Risk,308,1,283.43,0.71948135
17587,At Risk,259,1,181.66,0.7193484
18212,At Risk,308,1,298.3,0.71926206
15131,New Customers,25,1,80.28,0.71879834
15056,At Risk,151,1,133.45,0.7187492
17953,At Risk,171,1,160.82,0.7182177
15354,At Risk,234,3,284.4,0.71821254
14133,At Risk,364,1,305.5,0.71796644
17922,At Risk,174,1,170.4,0.71771336
14137,At Risk,326,1,332.7,0.7176822
13011,New Customers,3,1,101.1,0.71760345
13303,New Customers,31,1,61.72,0.71708435
15229,At Risk,217,1,160.5,0.71691173
17344,At Risk,359,1,307.54,0.7168215
17816,At Risk,289,2,59.55,0.7166455
17583,At Risk,191,1,135.95,0.7164351
16077,At Risk,256,1,2300.4,0.7164292
14483,At Risk,368,1,120.0,0.7159662
16596,At Risk,320,2,208.83,0.7154209
16469,At Risk,145,1,178.48000000000002,0.7150811
17945,At Risk,327,3,360.35,0.71499443
13915,New Customers,25,1,70.80000000000001,0.7145171
18234,At Risk,182,1,179.6,0.71418047
17417,At Risk,180,1,164.18,0.71400946
13051,At Risk,210,2,155.8,0.7139997
17847,At Risk,147,2,129.69,0.71397233
12945,At Risk,287,1,437.16,0.7139343
13111,At Risk,350,1,321.88000000000005,0.71387315
12858,New Customers,14,1,177.92,0.7135928
14472,At Risk,320,1,291.38,0.7135428
13553,At Risk,305,1,517.8,0.7135141
15244,At Risk,297,1,280.51,0.7134116
16641,At Risk,332,1,323.4,0.71339744
14604,At Risk,264,1,143.86,0.7133771
16925,At Risk,171,1,125.65,0.7129444
18186,At Risk,353,1,329.58000000000004,0.7127267
16002,At Risk,256,1,169.21,0.7126898
17662,At Risk,293,2,412.92,0.7120948
13714,New Customers,96,1,161.35,0.7119816
15022,At Risk,308,1,281.05,0.7111643
16662,New Customers,25,1,163.8,0.7104524
15496,At Risk,262,1,146.14,0.7099659
18267,At Risk,304,1,269.37,0.7098691
12954,At Risk,270,1,162.45,0.7095442
15869,At Risk,257,1,174.02,0.7088313
15445,At Risk,221,1,171.0,0.70858514
16663,At Risk,360,1,165.0,0.7085315
16058,New Customers,37,1,62.7,0.7084689
14677,At Risk,224,1,184.91,0.70843613
13163,At Risk,241,1,17.65,0.7081176
12671,At Risk,237,1,2622.481,0.7077175
15685,New Customers,81,1,55.98,0.70765704
16420,New Customers,27,1,75.0,0.70721465
17778,At Risk,292,1,197.7,0.70643145
14516,At Risk,147,1,163.92,0.7062841
13498,At Risk,361,1,327.38,0.70584166
14814,At Risk,212,1,160.46,0.70576376
14391,At Risk,208,1,135.6,0.70523655
16294,New Customers,107,1,126.05,0.70510566
16978,At Risk,297,2,424.55,0.7050617
15577,At Risk,354,2,139.1,0.704846
14812,At Risk,229,1,185.8,0.70365953
15964,At Risk,294,1,272.96000000000004,0.7036298
13452,New Customers,104,1,139.8,0.7034033
16741,At Risk,256,1,173.06,0.70274913
14799,At Risk,368,1,180.45,0.702735
16578,At Risk,257,1,156.6,0.70193994
13852,At Risk,242,1,187.35,0.70184404
13839,New Customers,117,1,139.95000000000002,0.7014657
13511,At Risk,307,1,282.76,0.7014494
16315,At Risk,167,1,176.34,0.7013457
17798,At Risk,212,1,183.09,0.7011989
16035,At Risk,191,1,217.73,0.70113766
17215,New Customers,95,1,186.15,0.70090395
16078,At Risk,300,1,283.79,0.70074385
17944,New Customers,54,1,75.41,0.7005886
15991,At Risk,165,1,150.55,0.7004284
13508,At Risk,273,1,176.07999999999998,0.70037645
15941,At Risk,268,1,405.0,0.6991556
17842,At Risk,233,1,430.69,0.6990478
17901,At Risk,152,2,149.7,0.6989945
16507,At Risk,203,1,152.76,0.6971617
16819,New Customers,96,2,182.59,0.69711685
16289,New Customers,93,1,136.31,0.6968602
14822,New Customers,116,1,157.7,0.69680357
17225,At Risk,212,1,131.15,0.6966284
15928,At Risk,287,1,293.53,0.6965038
15558,At Risk,270,1,214.13,0.6961953
12851,New Customers,108,1,148.95,0.69590104
17441,At Risk,363,1,293.35,0.6956061
17586,At Risk,250,1,167.4,0.69511926
17960,At Risk,154,2,61.3,0.6948089
14783,At Risk,290,1,307.3,0.69473183
16061,New Customers,62,1,89.65,0.69401073
13482,At Risk,258,1,151.45,0.69378436
17305,At Risk,279,1,2135.46,0.69348377
14108,At Risk,362,2,447.05,0.69348
17915,At Risk,182,1,242.13,0.693199
13776,New Customers,59,2,623.98,0.69256455
13879,At Risk,276,1,395.5,0.6920393
12672,At Risk,227,1,211.15,0.6909896
14941,At Risk,209,1,182.1,0.69082636
12392,At Risk,222,1,234.75000000000003,0.69076484
14908,New Customers,94,1,104.1,0.6906793
17568,At Risk,264,1,382.79,0.6903622
13022,New Customers,60,1,65.3,0.6898918
13205,New Customers,74,1,2803.2,0.68935573
13724,At Risk,268,1,213.01,0.6890352
18056,At Risk,249,1,190.95,0.68863326
17093,At Risk,223,1,235.88,0.6885697
15926,At Risk,173,1,134.44,0.6875824
13112,At Risk,172,1,20.6,0.6872387
16448,New Customers,102,1,178.98000000000002,0.68722475
17993,At Risk,248,1,235.19,0.6863407
13967,New Customers,27,1,85.6,0.68610525
13551,At Risk,297,1,152.39999999999998,0.68607694
17763,At Risk,284,3,71.15,0.68591213
17065,At Risk,268,2,194.7,0.68584675
15954,At Risk,220,1,190.75,0.6853024
12638,At Risk,270,1,249.8,0.6851876
14874,At Risk,166,1,116.18,0.6850503
14244,At Risk,291,1,366.42,0.6847943
15709,At Risk,220,1,194.6,0.6847757
14674,New Customers,140,1,173.66,0.68467444
14559,New Customers,21,1,75.6,0.68460727
12663,At Risk,256,2,239.4,0.6844599
12619,At Risk,191,1,140.14,0.68442166
13653,New Customers,119,1,152.2,0.68442047
15448,At Risk,305,1,294.17,0.6839735
16136,At Risk,294,1,237.42,0.6838147
15219,At Risk,279,1,379.7,0.68373954
18020,At Risk,174,1,190.48,0.68348306
17207,At Risk,283,1,303.22,0.68312114
16396,New Customers,107,1,137.8,0.68288565
18227,New Customers,115,1,295.0,0.6827007
14279,At Risk,152,2,191.86,0.6825218
14596,At Risk,257,1,229.47,0.6823631
14598,At Risk,200,1,162.07,0.6823555
17928,At Risk,202,1,128.7,0.6822256
13009,At Risk,303,1,234.0,0.6819443
17729,At Risk,227,1,438.65,0.6819176
15918,At Risk,262,1,248.65,0.68156755
17991,At Risk,222,1,227.2,0.68062466
17577,At Risk,276,2,348.75,0.6803105
15170,New Customers,37,1,81.15,0.6801645
16913,At Risk,282,2,310.47,0.6800743
17116,At Risk,279,1,389.78,0.67953783
14106,At Risk,368,1,214.8,0.6794445
12979,At Risk,360,1,517.7,0.6791866
13063,New Customers,111,1,188.4,0.67886496
15943,At Risk,280,2,271.29,0.67878556
15987,New Customers,10,1,117.37,0.6783846
14018,At Risk,276,1,367.15,0.67811036
16436,At Risk,299,3,329.34,0.6779123
16090,At Risk,255,1,205.91,0.67789555
13204,At Risk,362,1,966.66,0.67765665
15662,At Risk,292,2,283.73,0.6776198
15552,At Risk,254,1,162.4,0.67753255
16821,New Customers,13,1,113.35,0.67672265
18134,At Risk,229,2,445.0,0.67661357
15285,New Customers,39,1,94.92,0.67607176
15635,New Customers,27,1,100.35,0.6759045
17542,At Risk,272,2,170.95,0.67590445
16273,At Risk,279,2,336.04,0.67536867
15112,At Risk,242,1,209.4,0.67412287
17780,At Risk,298,3,352.91,0.6738265
16666,At Risk,252,1,106.96,0.6734986
17827,At Risk,252,1,392.59,0.6734266
14173,At Risk,272,2,135.16,0.6729408
16408,At Risk,222,1,231.93,0.6724486
17472,At Risk,259,1,224.81,0.67241067
15583,New Customers,7,1,107.86,0.67212
13766,New Customers,126,1,190.35,0.67201805
16452,At Risk,261,2,332.17,0.6714699
12959,New Customers,115,1,150.95,0.6707834
16911,At Risk,266,2,255.25,0.6707112
16681,At Risk,272,1,151.5,0.67034507
12443,At Risk,363,1,485.31,0.67034507
17285,At Risk,259,2,428.34,0.6703324
12547,New Customers,131,1,175.78,0.6701322
13076,New Customers,88,1,135.4,0.6699252
17468,New Customers,6,1,57.8,0.6697795
12495,At Risk,271,1,357.4,0.6694986
15564,New Customers,94,2,70.74000000000001,0.6691868
13619,At Risk,175,2,231.69,0.6690427
17912,New Customers,6,1,64.49,0.6688107
17916,At Risk,259,2,43.87,0.6687126
16508,At Risk,261,1,248.8,0.66804606
14928,At Risk,259,1,223.91000000000005,0.6679829
17958,At Risk,359,1,465.42,0.66798043
13454,At Risk,272,1,219.87,0.667357
17439,At Risk,286,1,325.74,0.6666495
14163,New Customers,93,1,148.71,0.6660183
17330,At Risk,175,2,59.900000000000006,0.66574574
13197,At Risk,241,1,373.0100000000001,0.66510946
13161,New Customers,131,1,366.13,0.66439295
12799,At Risk,160,1,219.35,0.66435695
15509,New Customers,11,1,166.51,0.6641614
18157,At Risk,202,1,215.35,0.6638999
15794,At Risk,367,2,777.0,0.6637233
14459,At Risk,282,1,3537.821,0.6632468
13290,New Customers,69,1,208.63,0.66311085
17488,At Risk,272,1,336.5,0.66149014
16109,At Risk,329,1,327.6,0.6614178
17626,At Risk,233,1,254.0,0.66132975
18029,At Risk,273,1,433.77,0.6612766
16222,At Risk,352,1,498.50000000000006,0.660948
14997,At Risk,286,1,230.4,0.66058207
14069,At Risk,145,2,230.06,0.6605164
14706,At Risk,249,1,390.69,0.65987843
15542,New Customers,143,3,918.45,0.6596952
15086,At Risk,195,2,218.53,0.65943146
16622,At Risk,174,1,225.4,0.65936774
13530,At Risk,265,1,402.98,0.65935147
17479,At Risk,264,1,389.2600000000001,0.65935147
13608,At Risk,171,1,236.2,0.6589075
17384,New Customers,98,1,171.15,0.65890706
13646,New Customers,30,2,326.25,0.65881044
16440,New Customers,124,1,216.3,0.6582438
17074,At Risk,193,1,203.05,0.6579665
15989,New Customers,6,2,372.51,0.6578521
14039,At Risk,207,1,115.08,0.6577635
15166,New Customers,98,1,167.16,0.65770966
16749,At Risk,222,2,4387.08,0.65767515
15437,At Risk,271,1,193.29,0.6575549
13526,At Risk,369,2,1182.0,0.65730137
15072,New Customers,110,1,187.52,0.656926
16695,At Risk,192,2,193.15,0.65650487
17826,New Customers,5,1,134.59,0.6564972
14826,At Risk,213,2,385.2,0.6560149
14017,At Risk,202,1,229.75,0.65573287
14311,At Risk,198,1,206.19,0.6553082
13509,New Customers,138,1,135.0,0.6544905
14694,At Risk,248,1,244.31,0.65393347
17112,New Customers,133,1,205.17,0.6538627
14873,At Risk,264,1,334.45,0.6534855
